,合约,日期,前收盘价,前结算价,开盘价,最高价,最低价,收盘价,结算价,涨跌1,涨跌2,成交量,成交金额,持仓量
1,a1601,20160104,3815,3826,3800,3870,3600,3800,3810,-26,-16,122,4649080,7072
2,a1601,20160105,3800,3810,3870,3870,3659,3800,3839,-10,29,50,1919580,6618
3,a1601,20160106,3800,3839,3636,3796,3609,3792,3785,-47,-54,290,10977640,6486
4,a1601,20160107,3792,3785,3790,3790,3786,3786,3788,1,3,182,6894200,6486
5,a1601,20160108,3786,3788,3780,3780,3780,3780,3780,-8,-8,16,604800,6084
6,a1601,20160111,3780,3780,3770,3788,3770,3788,3770,8,-10,54,2036160,5968
7,a1601,20160112,3788,3770,0,0,0,3770,3770,0,0,0,0,5918
8,a1601,20160113,3770,3770,0,0,0,3770,3770,0,0,0,0,5918
9,a1601,20160114,3770,3770,3750,3750,3750,3750,3750,-20,-20,2778,104175000,3226
10,a1601,20160115,3750,3750,3900,3900,3900,3900,3759,150,9,6,234000,0
11,a1603,20160104,3474,3482,3480,3484,3463,3463,3476,-19,-6,232,8066340,1182
12,a1603,20160105,3463,3476,3484,3485,3455,3483,3478,7,2,178,6191220,1192
13,a1603,20160106,3483,3478,3386,3480,3386,3463,3463,-15,-15,202,6995600,1212
14,a1603,20160107,3463,3463,3472,3488,3462,3469,3478,6,15,194,6749220,1250
15,a1603,20160108,3469,3478,3472,3493,3459,3489,3477,11,-1,318,11057080,1264
16,a1603,20160111,3489,3477,3489,3500,3460,3489,3483,12,6,260,9056360,1240
17,a1603,20160112,3489,3483,3493,3497,3483,3492,3489,9,6,78,2721480,1234
18,a1603,20160113,3492,3489,3493,3523,3493,3517,3510,28,21,216,7583020,1218
19,a1603,20160114,3517,3510,3514,3516,3492,3494,3498,-16,-12,88,3078980,1276
20,a1603,20160115,3494,3498,3499,3505,3492,3494,3499,-4,1,50,1749920,1278
21,a1603,20160118,3494,3499,3492,3505,3488,3503,3498,4,-1,58,2028840,1288
22,a1603,20160119,3503,3498,3498,3530,3498,3530,3516,32,18,88,3094400,1292
23,a1603,20160120,3530,3516,3607,3607,3498,3504,3520,-12,4,82,2886660,1298
24,a1603,20160121,3504,3520,3501,3505,3478,3497,3497,-23,-23,80,2797880,1302
25,a1603,20160122,3497,3497,3503,3517,3490,3505,3506,8,9,158,5539740,1290
26,a1603,20160125,3505,3506,3513,3525,3503,3503,3518,-3,12,100,3518660,1296
27,a1603,20160126,3503,3518,3499,3512,3499,3506,3504,-12,-14,18,630840,1298
28,a1603,20160127,3506,3504,3499,3507,3490,3492,3496,-12,-8,532,18602160,1702
29,a1603,20160128,3492,3496,3490,3493,3466,3466,3487,-30,-9,82,2859400,1720
30,a1603,20160129,3466,3487,3454,3459,3454,3459,3456,-28,-31,18,622120,1718
31,a1603,20160201,3459,3456,3455,3491,3448,3453,3458,-3,2,12,415040,1716
32,a1603,20160202,3453,3458,3445,3447,3382,3445,3430,-13,-28,22,754700,1716
33,a1603,20160203,3445,3430,3450,3450,3450,3450,3450,20,20,8,276000,1716
34,a1603,20160204,3450,3450,3429,3429,3400,3400,3412,-50,-38,42,1433400,1714
35,a1603,20160205,3400,3412,3409,3409,3350,3351,3373,-61,-39,14,472260,1718
36,a1603,20160215,3351,3373,3400,3400,3353,3353,3381,-20,8,6,202880,1716
37,a1603,20160216,3353,3381,3400,3400,3305,3400,3364,19,-17,16,538380,1718
38,a1603,20160217,3400,3364,3355,3371,3355,3360,3366,-4,2,60,2020000,1704
39,a1603,20160218,3360,3366,3375,3375,3344,3350,3356,-16,-10,178,5974020,1768
40,a1603,20160219,3350,3356,3359,3364,3334,3354,3352,-2,-4,12,402260,1768
41,a1603,20160222,3354,3352,3372,3397,3372,3397,3382,45,30,50,1691200,1778
42,a1603,20160223,3397,3382,3390,3390,3360,3390,3369,8,-13,46,1549940,1778
43,a1603,20160224,3390,3369,3392,3397,3355,3376,3383,7,14,240,8121420,1816
44,a1603,20160225,3376,3383,3381,3399,3350,3399,3382,16,-1,136,4600340,1720
45,a1603,20160226,3399,3382,3410,3410,3351,3377,3389,-5,7,78,2644180,1694
46,a1603,20160229,3377,3389,3400,3413,3390,3390,3401,1,12,174,5918900,1692
47,a1603,20160301,3390,3401,3199,3199,3199,3199,3199,-202,-202,4,127960,1686
48,a1603,20160302,3199,3199,3300,3300,3300,3300,3300,101,101,2,66000,1068
49,a1603,20160303,3300,3300,3498,3498,3498,3498,3498,198,198,2,69960,1068
50,a1603,20160304,3498,3498,3690,3690,3690,3690,3690,192,192,2,73800,0
51,a1603,20160307,3690,3690,0,0,0,3690,3690,0,0,0,0,0
52,a1603,20160308,3690,3690,0,0,0,3690,3690,0,0,0,0,0
53,a1603,20160309,3690,3690,0,0,0,3690,3690,0,0,0,0,0
54,a1603,20160310,3690,3690,0,0,0,3690,3690,0,0,0,0,0
55,a1603,20160311,3690,3690,0,0,0,3690,3690,0,0,0,0,0
56,a1603,20160314,3690,3690,0,0,0,3377,3377,-313,-313,0,0,0
57,a1605,20160104,3620,3615,3615,3645,3571,3603,3602,-12,-13,120894,4355167300,197206
58,a1605,20160105,3603,3602,3602,3624,3596,3614,3611,12,9,89338,3226227220,190302
59,a1605,20160106,3614,3611,3615,3620,3578,3596,3593,-15,-18,139100,4998695780,205446
60,a1605,20160107,3596,3593,3588,3630,3587,3596,3604,3,11,106460,3836827860,193450
