Year,Value,County
2006,2712.00 ,jinan
2006,2577.00 ,qingdao
2006,1939.00 ,zibo
2006,4083.00 ,zaozhuang
2006,2077.00 ,dongying
2006,3109.00 ,yantai
2006,2554.00 ,weifang
2006,2614.00 ,jining
2006,3508.00 ,taiai
2006,2653.00 ,weihai
2006,4329.00 ,rizhao
2006,2352.00 ,laiwu
2006,2678.00 ,linyi
2006,2976.00 ,dezhou
2006,2633.00 ,liaocheng
2006,2402.00 ,binzhou
2006,2504.00 ,heze
2007,2841.00 ,jinan
2007,2633.00 ,qingdao
2007,2023.00 ,zibo
2007,3929.00 ,zaozhuang
2007,2275.00 ,dongying
2007,3181.00 ,yantai
2007,2767.00 ,weifang
2007,2653.00 ,jining
2007,2830.00 ,taiai
2007,2695.00 ,weihai
2007,3102.00 ,rizhao
2007,2397.00 ,laiwu
2007,2453.00 ,linyi
2007,2981.00 ,dezhou
2007,2640.00 ,liaocheng
2007,2470.00 ,binzhou
2007,2510.00 ,heze
2008,2921.00 ,jinan
2008,2535.00 ,qingdao
2008,2083.00 ,zibo
2008,3522.00 ,zaozhuang
2008,2221.00 ,dongying
2008,3013.00 ,yantai
2008,2989.00 ,weifang
2008,2741.00 ,jining
2008,2834.00 ,taiai
2008,2722.00 ,weihai
2008,3060.00 ,rizhao
2008,2413.00 ,laiwu
2008,2463.00 ,linyi
2008,2995.00 ,dezhou
2008,2764.00 ,liaocheng
2008,2208.00 ,binzhou
2008,2521.00 ,heze
2009,3084.00 ,jinan
2009,2509.00 ,qingdao
2009,2290.00 ,zibo
2009,3639.00 ,zaozhuang
2009,2286.00 ,dongying
2009,2899.00 ,yantai
2009,3110.00 ,weifang
2009,2723.00 ,jining
2009,2872.00 ,taiai
2009,2682.00 ,weihai
2009,3204.00 ,rizhao
2009,2361.00 ,laiwu
2009,2653.00 ,linyi
2009,3288.00 ,dezhou
2009,2854.00 ,liaocheng
2009,2598.00 ,binzhou
2009,2538.00 ,heze
2010,3040.00 ,jinan
2010,2531.00 ,qingdao
2010,2556.00 ,zibo
2010,3558.00 ,zaozhuang
2010,2145.00 ,dongying
2010,2909.00 ,yantai
2010,3006.00 ,weifang
2010,2794.00 ,jining
2010,2940.00 ,taiai
2010,2775.00 ,weihai
2010,3160.00 ,rizhao
2010,2343.00 ,laiwu
2010,2715.00 ,linyi
2010,2845.00 ,dezhou
2010,2566.00 ,liaocheng
2010,2555.00 ,binzhou
2010,2585.00 ,heze
2011,3113.00 ,jinan
2011,2583.00 ,qingdao
2011,2456.00 ,zibo
2011,3594.00 ,zaozhuang
