year,price,jinan,qingdao,zibo,zaozhuang,dongying,yantai,weifang,jining,taiai,weihai,rizhao,laiwu,linyi,dezhou,liaocheng,binzhou,heze
2006,"2,639","2,712.00","2,577.00","1,939.00","4,083.00","2,077.00","3,109.00","2,554.00","2,614.00","3,508.00","2,653.00","4,329.00","2,352.00","2,678.00","2,976.00","2,633.00","2,402.00","2,504.00"
2007,"4,320","2,841.00","2,633.00","2,023.00","3,929.00","2,275.00","3,181.00","2,767.00","2,653.00","2,830.00","2,695.00","3,102.00","2,397.00","2,453.00","2,981.00","2,640.00","2,470.00","2,510.00"
2008,"3,615","2,921.00","2,535.00","2,083.00","3,522.00","2,221.00","3,013.00","2,989.00","2,741.00","2,834.00","2,722.00","3,060.00","2,413.00","2,463.00","2,995.00","2,764.00","2,208.00","2,521.00"
2009,"3,724","3,084.00","2,509.00","2,290.00","3,639.00","2,286.00","2,899.00","3,110.00","2,723.00","2,872.00","2,682.00","3,204.00","2,361.00","2,653.00","3,288.00","2,854.00","2,598.00","2,538.00"
2010,"4,043","3,040.00","2,531.00","2,556.00","3,558.00","2,145.00","2,909.00","3,006.00","2,794.00","2,940.00","2,775.00","3,160.00","2,343.00","2,715.00","2,845.00","2,566.00","2,555.00","2,585.00"
2011,"4,101","3,113.00","2,583.00","2,456.00","3,594.00","2,265.00","2,931.00","3,105.00","2,794.00","2,978.00","2,808.00","3,188.00","2,424.00","2,756.00","3,143.00","2,751.00","2,625.00","2,709.00"
2012,"4,706","2,258.00","2,578.00","2,524.00","3,563.00","2,457.00","2,815.00","2,972.00","2,776.00","2,931.00","2,770.00","3,088.00","2,722.00","2,667.00","2,605.00","2,675.00","2,600.00","2,807.00"
2013,"4,483","2,686.17","2,392.32","2,479.42","3,548.10","1,472.91","2,629.35","3,005.40","2,911.02","2,894.69","2,483.85","2,926.53","2,794.41","2,666.18","2,830.41","2,489.29","2,467.23","2,636.45"
2014,"4,572","2,513.00","2,391.00","2,086.00","3,559.00","2,284.00","2,675.00","2,968.00","2,943.00","2,862.00","2,793.00","2,743.00","2,824.00","2,788.00","3,067.00","3,051.00","2,630.00","2,813.00"
2015,"3,876","2,696.78","2,727.80","2,645.17","3,227.94","2,061.08","2,805.92","2,791.98","2,999.59","2,834.65","2,792.81","2,762.61","2,717.23","2,761.89","2,867.30","3,569.00","2,140.58","2,736.65"
2016,"3,823","2,774.68","2,602.21","2,707.60","3,216.84","1,762.46","2,775.97","2,918.54","3,125.01","2,771.89","2,459.94","2,831.21","2,549.05","2,634.70","2,886.36","2,867.41","2,368.93","2,731.31"
2017,"3,627","2,630.57","2,343.93","2,883.35","3,012.19","2,015.72","2,475.43","2,899.07","2,919.26","2,850.87","2,500.56","2,864.31","2,442.57","2,337.63","2,670.94","2,673.21","2,357.16","2,955.55"
